strategy,topic,corpus,method,participant,score,competence,mental_demand,frustration,pleasure,temporal_demand,effort,immersion,physical_effort,difficulty,familarity,understanding,cognitive_load,enjoyment
RQ,RQ_O,O,1,13,6,4,5,4,3,5,5,6,5,6,1,4,24,5
RQ,RQ_O,O,0,14,6,4,5,2,5,2,4,6,3,3,1,5,16,8
EE,EE_O,O,1,3,5,1,6,5,2,2,6,5,2,6,1,3,21,1
EE,EE_O,O,0,1,4,1,7,6,2,6,7,5,5,6,1,1,31,-1
EE,EE_O,O,1,2,5,2,7,6,1,6,6,6,7,5,1,4,32,1
EE,EE_O,O,0,16,7,4,6,5,3,3,5,3,3,4,3,5,22,9
EE,EE_O,O,1,7,3,5,6,3,3,3,3,3,4,2,5,6,19,11
EE,EE_O,O,0,8,4,5,6,6,2,6,6,1,6,7,1,2,30,8
EE,EE_O,O,1,11,3,6,3,3,2,2,4,4,2,2,1,6,14,10
EE,EE_O,O,1,10,7,2,5,2,4,1,5,4,3,3,4,5,16,7
EE,EE_O,O,0,4,3,5,4,1,4,4,6,4,5,6,2,5,20,10
EE,EE_O,O,0,5,6,3,2,1,6,1,1,1,1,2,1,5,6,13
EE,EE_O,O,0,12,5,5,5,2,5,3,5,3,2,5,2,5,17,12
EE,EE_O,O,0,9,6,4,5,4,1,2,1,6,5,1,1,7,17,6
EE,EE_O,O,1,15,6,6,2,2,5,3,5,2,2,2,3,5,14,14
EE,EE_O,O,1,6,5,5,5,3,5,5,6,3,2,3,6,6,21,13
EE,EE_O,O,0,13,4,5,5,3,3,4,5,5,4,4,1,5,21,8
EE,EE_O,O,1,14,3,5,3,4,4,2,2,5,2,2,2,6,13,10
TP,TP_G,G,1,3,6,4,5,3,3,2,5,3,2,3,1,5,17,9
TP,TP_G,G,0,1,7,5,7,2,3,5,7,5,3,5,2,4,24,7
TP,TP_G,G,1,2,7,4,5,2,6,3,5,6,2,2,1,6,17,10
TP,TP_G,G,0,16,6,6,3,3,2,3,3,3,1,3,3,6,13,11
TP,TP_G,G,1,7,7,4,3,2,2,2,3,2,2,3,2,4,12,8
TP,TP_G,G,1,11,6,6,4,3,4,2,2,3,3,2,1,6,14,13
TP,TP_G,G,0,8,7,2,7,6,1,6,7,7,6,6,2,1,32,-3
TP,TP_G,G,1,10,7,6,4,1,5,1,2,4,2,2,2,6,10,13
TP,TP_G,G,0,4,6,5,5,1,6,4,6,4,5,4,1,5,21,12
TP,TP_G,G,0,5,6,6,1,1,6,1,1,2,1,1,1,6,5,16
TP,TP_G,G,0,12,7,5,5,4,5,5,6,4,5,6,1,3,25,9
TP,TP_G,G,0,9,4,7,1,1,1,1,1,6,2,1,1,7,6,9
TP,TP_G,G,1,6,5,5,3,3,5,4,5,3,3,4,5,5,18,12
TP,TP_G,G,1,15,7,4,4,2,5,2,4,2,2,4,2,6,14,13
TP,TP_G,G,0,13,6,5,4,3,4,3,5,5,5,3,3,4,20,8
TP,TP_G,G,1,14,4,5,3,2,3,2,2,3,2,2,2,6,11,11
IL,IL_G,G,0,3,6,5,6,3,3,5,5,5,3,4,1,4,22,7
IL,IL_G,G,0,1,5,2,7,6,1,7,7,7,5,7,1,3,32,-1
IL,IL_G,G,1,2,5,3,6,5,4,4,5,5,3,4,1,4,23,6
IL,IL_G,G,1,16,5,5,4,2,6,4,3,4,2,3,1,5,15,12
IL,IL_G,G,0,7,4,1,7,4,6,6,5,6,2,6,1,3,24,4
IL,IL_G,G,1,8,5,6,7,3,4,3,6,5,6,5,2,6,25,11
IL,IL_G,G,0,11,5,5,3,3,3,2,2,4,2,3,1,5,12,9
IL,IL_G,G,1,10,6,5,2,1,5,1,2,4,2,3,1,5,8,11
IL,IL_G,G,1,4,4,4,4,4,4,4,5,4,4,5,1,4,21,8
IL,IL_G,G,0,5,6,6,1,1,2,1,1,2,1,2,1,6,5,12
IL,IL_G,G,0,15,4,4,6,5,1,5,6,5,5,6,1,2,27,2
IL,IL_G,G,1,12,5,5,5,3,6,4,5,3,3,3,1,5,20,13
IL,IL_G,G,1,6,4,5,4,3,5,3,4,4,3,3,1,4,17,10
IL,IL_G,G,0,9,2,4,3,1,1,1,1,1,1,3,1,3,7,7
IL,IL_G,G,0,13,1,3,5,3,5,5,5,6,2,5,1,3,20,5
IL,IL_G,G,1,14,5,5,2,4,3,2,2,4,2,3,1,4,12,8
AN,AN_O,O,0,3,6,3,5,4,2,2,5,5,2,5,1,5,18,5
AN,AN_O,O,0,1,5,2,6,5,2,5,4,4,5,3,2,4,25,4
AN,AN_O,O,1,2,7,6,2,2,7,2,2,6,1,1,2,7,9,14
AN,AN_O,O,1,16,6,5,4,3,3,3,3,3,2,4,2,4,15,9
AN,AN_O,O,0,7,7,6,2,2,2,2,2,2,2,2,6,6,10,12
AN,AN_O,O,0,11,6,5,2,3,3,3,2,4,2,2,1,6,12,10
AN,AN_O,O,1,8,6,6,6,4,5,4,6,4,5,3,1,6,25,13
AN,AN_O,O,1,10,7,6,3,1,5,1,2,4,2,1,6,6,9,13
AN,AN_O,O,1,4,7,4,4,2,5,3,5,4,5,5,5,4,19,9
AN,AN_O,O,0,5,5,5,2,1,5,1,1,2,1,2,1,5,6,13
AN,AN_O,O,0,15,7,6,5,2,6,3,3,2,3,2,5,5,16,15
AN,AN_O,O,1,12,6,3,5,4,5,3,5,5,3,4,1,3,20,6
AN,AN_O,O,1,6,3,4,5,4,3,4,5,4,3,5,3,3,21,6
AN,AN_O,O,0,9,7,4,1,1,1,1,1,1,1,1,1,7,5,11
AN,AN_O,O,0,13,6,6,4,3,3,3,4,5,3,3,2,5,17,9
AN,AN_O,O,1,14,6,6,2,4,4,2,2,5,2,1,6,6,12,11
AN,AN_G,G,1,3,7,3,6,7,3,2,5,6,2,7,1,3,22,3
AN,AN_G,G,1,1,7,1,7,7,1,7,7,7,6,7,1,1,34,-4
AN,AN_G,G,0,16,7,5,4,4,3,3,3,3,2,5,1,5,16,10
AN,AN_G,G,0,2,7,4,5,4,3,3,4,6,3,2,1,5,19,6
AN,AN_G,G,1,7,4,4,4,4,4,3,6,4,3,5,2,3,20,7
AN,AN_G,G,1,11,6,3,3,3,2,3,5,5,3,5,1,3,17,3
AN,AN_G,G,0,8,7,6,5,4,3,4,6,5,5,4,1,5,24,9
AN,AN_G,G,0,10,7,2,6,2,4,1,2,3,2,4,1,4,13,7
AN,AN_G,G,0,4,3,2,5,4,3,4,3,4,4,6,1,1,20,2
AN,AN_G,G,1,5,7,5,2,1,5,2,1,2,1,3,1,5,7,13
AN,AN_G,G,0,12,6,5,5,5,6,5,6,5,3,5,1,4,24,10
AN,AN_G,G,1,15,4,2,5,6,1,5,4,6,3,6,1,1,23,-2
AN,AN_G,G,1,9,6,3,1,1,1,1,1,1,1,3,1,3,5,6
AN,AN_G,G,0,6,5,3,5,5,3,5,5,5,4,6,1,3,24,4
AN,AN_G,G,1,13,4,2,5,5,6,5,5,6,5,5,1,3,25,5
AN,AN_G,G,0,14,6,1,5,4,3,2,4,3,5,6,1,2,20,3
